ENTITY_ID,SYS_ID,ACCOUNT_NO,REF_CASE_NO,REF_NOTICE_NO,DOC_TYPE,DOC_CONTROL_NO,ORG_ID,ORG_NAME,BATCH_NO,BATCH_DATE,DOWNLOADABLE_IND,PUBLIC_IND
"CDD11810","11810005","","","","","","","","03062013175847","20130603","1","1"
"CDD11811","11811005","","","","","","","","03062013175847","20130603","1","1"
"CDD11812","11812006","","","","","","","","03062013175847","20130603","1","1"
"CDD11813","11813007","","","","","","","","03062013175847","20130603","1","1"
"CDD11814","11814006","","","","","","","","03062013175847","20130603","1","1"
"CDD11815","11815005","","","","","","","","03062013175847","20130603","1","1"
"CDD11816","11816006","","","","","","","","03062013175847","20130603","1","1"
"CDD11817","11817006","","","","","","","","03062013175847","20130603","1","1"
"CDD11818","11818005","","","","","","","","03062013175847","20130603","1","1"
"CDD11819","11819005","","","","","","","","03062013175847","20130603","1","1"
"CDD11820","11820004","","","","","","","","03062013175847","20130603","1","1"
"CDD11821","11821005","","","","","","","","03062013175847","20130603","1","1"
"CDD11822","11822005","","","","","","","","03062013175847","20130603","1","1"
"CDD11823","11823005","","","","","","","","03062013175847","20130603","1","1"
"CDD11824","11824006","","","","","","","","03062013175847","20130603","1","1"
"CDD11825","11825006","","","","","","","","03062013175847","20130603","1","1"
"CDD11826","11826006","","","","","","","","03062013175847","20130603","1","1"
"CDD11827","11827007","","","","","","","","03062013175847","20130603","1","1"
"CDD11828","11828005","","","","","","","","03062013175847","20130603","1","1"
"CDD11829","11829006","","","","","","","","03062013175847","20130603","1","1"
"CDD11830","11830005","","","","","","","","03062013175847","20130603","1","1"
"CDD11831","11831005","","","","","","","","03062013175847","20130603","1","1"
"CDD11832","11832005","","","","","","","","03062013175847","20130603","1","1"
"CDD11833","11833005","","","","","","","","03062013175847","20130603","1","1"
"CDD11834","11834005","","","","","","","","03062013175847","20130603","1","1"
"CDD11835","11835005","","","","","","","","03062013175847","20130603","1","1"
"CDD11836","11836005","","","","","","","","03062013175847","20130603","1","1"
"CDD11837","11837006","","","","","","","","03062013175847","20130603","1","1"
"CDD11838","11838005","","","","","","","","03062013175847","20130603","1","1"
"CDD11839","11839005","","","","","","","","03062013175847","20130603","1","1"
"CDD11840","11840005","","","","","","","","03062013175847","20130603","1","1"
"CDD11841","11841005","","","","","","","","03062013175847","20130603","1","1"
"CDD11842","11842005","","","","","","","","03062013175847","20130603","1","1"
"CDD11843","11843005","","","","","","","","03062013175847","20130603","1","1"
"CDD11844","11844005","","","","","","","","03062013175847","20130603","1","1"
"CDD11845","11845005","","","","","","","","03062013175847","20130603","1","1"
"CDD11846","11846005","","","","","","","","03062013175847","20130603","1","1"
"CDD11847","11847005","","","","","","","","03062013175847","20130603","1","1"
"CDD11848","11848005","","","","","","","","03062013175847","20130603","1","1"
"CDD11849","11849005","","","","","","","","03062013175847","20130603","1","1"
"CDD11850","11850005","","","","","","","","03062013175847","20130603","1","1"
"CDD11851","11851005","","","","","","","","03062013175847","20130603","1","1"
